Description,Job Title,Conpany,Size,Company Domain,What country is the job based in?
"About the job
Job Title: AI Prompt Engineer
Location: Fully Remote
Work Hours: 4 PM to 1:30 AM IST with daylight savings (Till 3 PM CST)
Experience Required: 2+ Years


As a Prompt Engineer, you will design, evaluate, and refine prompts that drive intelligent behavior in AI-enabled features across our platform. You will work closely with data scientists, engineers, and product leaders to develop prompt frameworks and dialogue flows that power agentic orchestration, helping patients navigate complex health journeys. 

 
Responsibilities

Architect reusable prompt templates for multi-turn conversational flows, including clarification, escalation, human-in-the-loop, and action triggering 

Work with engineers and data scientists to test and optimize RAG-based search prompts 

Create and maintain prompt libraries with robust versioning and testing frameworks 

Collaborate on agentic workflows that help agents act autonomously and intelligently across clinical, scheduling, and care navigation use cases 

Evaluate prompt performance using real-time analytics and partner with the data science team to iterate 

Support safe prompt handling of PHI, bias mitigation, and hallucination reduction 

Develop challenger agents and evaluation agents to confirm agent output and ensure safe and consistent messaging to MyBSWHealth customers 



Minimum Qualifications

Bachelor's degree in Computer Science, Linguistics, Philosophy, Cognitive Science, or comparable experience in industry or a related field 
2+ years working with LLMs (e.g., GPT, Claude, Mistral, etc.) in production settings 
Experience with prompt engineering, RAG, or agentic AI architectures 
Familiarity with healthcare – or other regulated industry - workflows, EHR systems, or clinical terminology is a plus 
Strong understanding of conversational UX and prompt evaluation metrics 
Experience with Pydantic AI python library and n8n workflow automation software suite preferred
",Prompt Engineer,IntelERA,51-200 employees, IT Services and IT Consulting,India
"About the job
Voicecare AI is a Healthcare Administration General Intelligence (HAGI) company for the back-office and the RCM industry. We are building a safety focused large and small conversational language model for the healthcare industry. Our mission is to dramatically improve access, adherence, and outcomes for the patients and the healthcare workforce through the application of generative AI. We are a venture-backed company partnering with the top healthcare stakeholders in the country.

We are seeking an AI Prompt Engineer Intern with expertise in advanced prompt engineering techniques to optimize interactions with large language models for healthcare applications. This role will focus on designing, refining, and testing highly effective prompts that enhance the accuracy, relevance, and safety of AI-generated responses while ensuring compliance with healthcare regulations.

Responsibilities:

Prompt Engineering & Optimization

Design and develop advanced prompt engineering techniques to improve LLM-generated responses for healthcare applications. 
Fine-tune contextual prompts for improved accuracy, coherence, and latency
Conduct rigorous A/B testing and evaluation of prompt strategies to optimize performance. 

LLM Training and Customization

Work closely with ML and NLP engineers to fine-tune and train SLM and LLMs for domain-specific tasks. 
Collaborate on data curation, augmentation, and preprocessing to improve model outputs. 

Generative AI & Conversational AI Development

Create prompts optimized for healthcare-related interactions, summarization, and decision support. 

Performance Monitoring & Model Improvement

Develop advanced metrics and evaluation frameworks to assess prompt effectiveness. 
Implement continuous learning mechanisms to refine AI responses based on user feedback. 

Collaboration & Research

Stay ahead of emerging trends in generative AI, LLM advancements, and NLP techniques via research papers
Collaborate with healthcare professionals, data engineers, and software engineers to integrate AI solutions into real-world workflows. 

Skills and Experience:

Advanced Prompt Engineering: Strong demonstrated experience in crafting effective, structured prompts for AI models. 
Generative AI & LLMs: Hands-on experience working with GPT models, LLaMA, or other state-of-the-art open and closed sourced architectures. 
NLP Expertise: Experience in natural language processing techniques such as semantic search, intent recognition, and contextual AI. 
Programming: Strong proficiency in Python, with experience using LangChain,,Transformers
A/B Testing & Model Evaluation: Expertise in designing experiments to assess prompt effectiveness and model accuracy. 
Healthcare Industry Knowledge (Preferred): Familiarity with healthcare workflows, clinical documentation, and medical terminology. 

Qualifications:

Bachelor’s or Master’s degree in Computer Science, AI, NLP, Data Science, or a related field. 
2-4 years of experience in prompt engineering, NLP, or generative AI. 
Experience working with LLM-based applications in regulated industries (healthcare preferred). 
Strong portfolio of AI-driven projects, showcasing prompt engineering and model interaction improvements. 
Relevant certifications (e.g., Prompt Engineering, AWS/GCP AI Certifications) are a plus. 
Candidates located in Bangalore will be given preference
Candidates from top universities is a plus",AI Prompt Engineer,VoiceCare AI,11-50 employees,Hospitals and Health Care,India
"About the job
Job Title: Prompt Engineer

Location: Fully Remote
Rate: $8.00 - $12.00 USD per hour based on experience
Schedule: Monday to Friday, Eastern Standard Time
Job Type: Full-Time


About Us:

AbroadWorks is a fast growing global enterprise with established operations in the United States, India, and the Philippines. We specialize in providing both service-based solutions and advanced tech to help North American organizations in finding, onboarding, and managing global talent easily.


Our Offerings:

Global Staffing Services: Currently, the majority of our revenue is generated through our comprehensive global staffing services, which cater to the diverse needs of our clients.
Technology Solutions: Looking ahead, our strategic focus is to expand our footprint in the software sector, leveraging our technology to improve global human capital and talent management processes.


Job Description:

We are looking for a highly analytical and creative Prompt Engineer to support our AI and automation initiatives. This role requires strong language intuition, logical reasoning, and the ability to design, test, and optimize prompts that maximize the performance and accuracy of large language models (LLMs) such as ChatGPT. You will play a critical role in building high-quality prompt libraries, testing output consistency, and supporting internal and client-facing AI applications.


Requirements: 

Must have at least a year of experience as a Prompt Engineer or similar role.
At least 1–3 years of experience in a related role (e.g., content strategy, technical writing, NLP, product development, or research)
Exceptional written communication skills and fluency in English
Strong analytical thinking and pattern recognition
Familiarity with LLMs and AI tools such as OpenAI's ChatGPT, Claude, Bard, etc.
Experience using prompt frameworks or AI integrations (e.g., Zapier, Make, LangChain, Python scripting for prompts, etc.) is a strong advantage
Comfortable working independently in a remote, asynchronous team environment
Organized, detail-oriented, and able to document and track iterations systematically


Preferred Qualifications:

Experience with prompt versioning and performance analysis
Exposure to or interest in product design, human-computer interaction, or machine learning concepts
Prior experience in UX writing, copywriting, technical documentation, or conversational design
Basic coding or scripting skills (Python, JavaScript, etc.)


Key Responsibilities:

Design, write, and iterate on effective prompts for a variety of use cases including content generation, summarization, classification, automation, and data extraction
Collaborate with product, data, and engineering teams to understand user requirements and design prompt workflows that meet them
Evaluate AI model outputs for accuracy, relevance, tone, and consistency
Conduct prompt A/B testing and fine-tune prompts for better outcomes
Maintain a prompt knowledge base and contribute to scalable prompt engineering strategies
Stay current with advancements in prompt engineering, LLM capabilities, and generative AI tools
Assist in training internal teams or clients on using LLMs effectively through prompt guidance
Create documentation and best practices for internal and external use


Successful candidates for this role are expected to possess the following attributes:M
ust have excellent English communication skills.H
as the ability to complete projects in a timely manner and quickly adjust to changing circumstances and embrace new technologies, processes, or methods.G
reat logical and verbal reasoning skills.E
xceptionally detail-oriented.E
xceptional problem-solving and information-processing skills.A
bility to think outside the box.A
great work ethic and interest in learning new concepts and growing with the job.A
bility to work both independently and as part of a team.M
ust have their own work device (preferably a desktop or laptop) and a stable internet connection.M
ust be comfortable with using a time-tracking software for payroll purposes.
S
uccessful candidates for this role will be rewarded with the following benefits:A

total of five paid vacation days per year (additional days can be taken unpaid).A
5% raise per year guaranteed (additional raises or bonuses may be given for outstanding performance).A
paid 15-minute break for every 4 hours of work
*
Vacation days increase by 1 vacation day per year. I.e. after one year of work, the total paid vacation days on year 2 would be six, on year 3 seven, etc.
O
ur main focus is to build an energized and motivated workforce where our AbroadWorkers are happy and satisfied with their jobs and growth opportunities.
W
e are looking forward to making you a part of our team!
T
hank you for your time and interest.",Prompt Engineer, AbroadWorks,201-500 employees,Human Resources Services,India
"About the job
We are looking for a creative and technically adept Prompt Engineer to design, optimize, and manage prompts for large language models (LLMs). In this role, you will craft high-quality prompts to drive performance and accuracy across a variety of AI applications and use cases.

Key Responsibilities

Prompt Writing: Design clear, effective, and context-aware prompts for LLM-driven applications.
Prompt Optimization: Fine-tune prompts to improve relevance, accuracy, and consistency of AI outputs.
Prompt Management: Maintain a well-structured prompt library with versioning, documentation, and performance metrics.
Collaboration: Work closely with data scientists, ML engineers, and product teams to align prompt strategies with application goals.
Testing & Evaluation: A/B test prompts and analyze results to drive continuous improvement.
Knowledge Sharing: Stay updated with advancements in prompt engineering and share best practices with the team.

Qualifications

Experience: 3–6 years in prompt engineering, NLP, or related fields.

Skills Required

Deep understanding of LLM behavior and prompt engineering techniques.
Proven experience in crafting, tuning, and managing prompts for AI/LLM platforms.
Strong analytical mindset with a knack for experimentation and iteration.
Excellent written and verbal communication skills.
Ability to work in a fast-paced, cross-functional team environment.

Preferred Tools & Technologies

Experience with OpenAI, Anthropic, Cohere, or similar LLM APIs
Familiarity with Python or scripting languages for prompt testing
Version control systems (e.g., Git)
Prompt testing frameworks or evaluation tools (optional)

", Prompt Engineer,Cloudesign, 201-500 employees,IT Services and IT Consulting,India
"About the job
Where you'll be doing 

Convert business goals into agentic workflows by designing and iterating on conversation flows and logic
Write and test prompts that bring out the best from LLMs in a voice-first context.
Evaluate, debug, and improve voicebot performance using structured test cases and success metrics.
Work closely with engineering, data, sales, and marketing to align voice AI Agent behaviour with real customer use cases.
Build tools, prompt templates, and reusable components to scale development efficiently.
Document strategies and continuously improve based on data insights and user feedback.


Requirements

Solid understanding of LLMs and prompt engineering — including few-shot, zero-shot, role prompting, and persona shaping.
Comfort with Python and SQL to prototype, automate tests, and analyze conversational data.
Strong written and verbal communication in English and Hindi (you’ll write for real people, not robots).
A strong sense of ownership and entrepreneurial mindset — you move fast, ask the right questions, and find your own path when needed.
A self-starter mindset — you're a “manager of one” who can take ownership and drive outcomes.
Ability to analyze business requirements and translate them into smart, human-like conversational agents.


Qualifications

Recent graduate in Computer Science, Data Science, Linguistics, AI, Product Design, or a related field.
Exposure to large language models (LLMs) like ChatGPT, Claude, Gemini, or similar - academic, personal, or internship projects are welcome.
Basic proficiency in Python - able to call APIs, write scripts, or analyze data.
Working knowledge of SQL - able to run queries to explore or report on data.
Passion for AI, voice tech, or conversational UX - you’ve played with bots, experimented with prompts, or imagined how a smart assistant should talk.
0-2 years of experience working in similar roles & projects


Logistics 

Compensation: Competitive!
Joining: ASAP!
Location: Noida


Why should you consider us seriously?

We believe that long-term, people over product and profits, prioritize culture over everything else. See Glassdoor reviews.
We are a well-balanced team of experienced entrepreneurs and are backed by top investors across India and Silicon Valley (Chiratae Ventures, Blume Ventures, Abstract Ventures, Emergent Ventures; Senior execs at Google, Square, Genpact & Flipkart; Co-founders of Infosys, Snapdeal, Slideshare, Zomato, etc.)
Freedom and Responsibility 🦅
Entrepreneurial Team 💪
Exponential Growth 📈
Healthcare (Physical & Mental Wellness) 😌


Please Note:

SquadStack is committed to a diverse and inclusive workplace. SquadStack is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status",AI Success Associate (Prompt Engineer),SquadStack,201-500 employees,"Technology, Information and Internet",India
"About the job
Job Summary

Synechron is seeking a proactive and skilled Generative AI Testing & Prompt Engineer to join our innovative technology team. In this role, you will design and execute prompt strategies, develop automation workflows, and evaluate AI outputs to ensure high-quality, unbiased, and reliable generative models. Your expertise will help improve AI performance, safety, and ethical standards, enabling the organization to leverage cutting-edge AI capabilities effectively and responsibly.

Software Requirements

Required:
Python (including libraries such as NumPy, Pandas, and testing frameworks)
Bash or shell scripting for automation workflows
Version control tools (Git)
AI evaluation metrics tools and frameworks for measuring quality, bias, and safety
Preferred:
Experience with AI/ML frameworks such as TensorFlow or PyTorch
CI/CD automation tools for seamless testing and deployment workflows
Data analysis tools and platforms for metrics development
Overall Responsibilities

Develop and refine prompts to evaluate the capabilities, accuracy, creativity, and safety of Generative AI models, including NLP and multimodal models. 
Design comprehensive testing strategies across diverse scenarios using prompt variations to assess performance, bias, and ethical considerations. 
Automate testing workflows to streamline data collection, prompt execution, output analysis, and reporting. 
Analyze and interpret AI outputs, providing insights for improvements and bias mitigation. 
Collaborate closely with AI data scientists and developers to tune prompt techniques and enhance model behavior through automation and feedback. 
Document prompt scripts, testing procedures, automation workflows, and test results for transparency and reproducibility. 
Continuously refine prompt engineering and testing methodologies based on latest AI advancements and industry best practices. 
Stay informed about new trends, tools, and ethical considerations related to generative AI, prompt engineering, and automation. 

Technical Skills (By Category)

Programming Languages:
Required: Python (advanced scripting and automation capabilities)
Preferred: Bash, shell scripting, or other automation languages
Databases/Data Management:
Basic understanding of data storage and querying for managing testing datasets
Experience with data labeling and quality control processes
Cloud Technologies:
Preferred: Basic familiarity with cloud platforms (AWS, Azure, GCP) for AI deployment and testing
Frameworks and Libraries:
Required: Generative AI evaluation tools, scripting frameworks for automation, prompt management tools
Preferred: TensorFlow, PyTorch, or similar AI/ML libraries
Development Tools and Methodologies:
Required: Version control (Git), scripting for automation, reporting tools
Preferred: CI/CD pipelines for automated testing and deployment in cloud or on-prem environments
Security Protocols:
Awareness of data privacy, security standards, and bias mitigation techniques
Experience Requirements

3-5 years of professional experience in testing generative AI models, including prompt writing and optimization. 
Proven experience designing prompt strategies for NLP and multimodal models. 
Hands-on experience automating evaluation workflows for AI outputs, bias detection, and safety assessment. 
Familiarity with model evaluation metrics, including relevance, coherence, bias, and safety. 
Industry experience in AI development, testing, or related research preferred; alternative experience with related automation and data analysis roles may be considered. 

Day-to-Day Activities

Develop, test, and optimize user prompts for AI model evaluations across multiple scenarios. 
Automate processes for prompt execution, data collection, and output assessment. 
Monitor and analyze AI model responses for quality, relevance, bias, and ethical compliance. 
Collaborate with data scientists, AI developers, and product teams to implement prompt tuning and automation improvements. 
Document testing strategies, automation scripts, and test outcomes thoroughly. 
Provide actionable feedback to improve model behavior and address bias or safety issues. 
Review industry trends and incorporate new testing tools or methodologies to advance testing capabilities. 

Qualifications

Bachelor’s degree in Computer Science, Data Science, AI, or related field. 
Relevant certifications in AI, data analysis, or automation practices are a plus. 
Demonstrated commitment to continuous learning of AI ethics, bias mitigation, and prompt engineering. 

Professional Competencies

Critical thinking and analytical skills to interpret complex AI outputs and identify issues. 
Problem-solving abilities to develop effective prompts, troubleshoot automation workflows, and improve testing strategies. 
Strong communication skills for documenting processes and collaborating with multidisciplinary teams. 
Ability to adapt rapidly to evolving AI technologies and industry standards. 
Interpersonal skills for stakeholder engagement and feedback provision. 
Effective time management to handle multiple test scenarios and documentation tasks efficiently. 

S YNECHRON’S DIVERSITY & INCLUSION STATEMENT

Diversity & Inclusion are fundamental to our culture, and Synechron is proud to be an equal opportunity workplace and is an affirmative action employer. Our Diversity, Equity, and Inclusion (DEI) initiative ‘Same Difference’ is committed to fostering an inclusive culture – promoting equality, diversity and an environment that is respectful to all. We strongly believe that a diverse workforce helps build stronger, successful businesses as a global company. We encourage applicants from across diverse backgrounds, race, ethnicities, religion, age, marital status, gender, sexual orientations, or disabilities to apply. We empower our global workforce by offering flexible workplace arrangements, mentoring, internal mobility, learning and development programs, and more.

All employment decisions at Synechron are based on business needs, job requirements and individual qualifications, without regard to the applicant’s gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

Candidate Application Notice",Generative AI Testing & Prompt Engineer,Synechron,10001+ employees,"Technology, Information and Internet",India
"About the job
Job Location: Dahisar, Mumbai


Role Description

This is a full-time on-site role for a Prompt Engineer located in Mumbai. The Prompt Engineer will be responsible for designing, developing, and maintaining AI solutions. Day-to-day tasks include creating and refining prompts for AI models, collaborating with cross-functional teams to integrate AI smoothly into various applications, conducting tests and validation protocols to ensure optimal performance, and troubleshooting any issues that arise with the AI systems. The role also involves staying updated on the latest advancements in AI technology and researching new methodologies to improve our AI capabilities.


Qualifications

Strong understanding of AI and machine learning concepts, principles, and techniques
Proficiency in programming languages such as Python, R, or Java
Experience with AI frameworks and libraries such as TensorFlow, PyTorch, or Keras
Ability to conduct thorough research and analysis to inform prompt development
Excellent problem-solving skills and attention to detail
Strong communication and collaboration skills
Bachelor’s degree in Computer Science, Engineering, or a related field
Previous experience in a similar role is a plus

",Prompt Engineer,Poddar Diamonds,501-1000 employees,Consumer Goods,India
"About the job
Company: Arrowhead

Website: Visit Website

Business Type: Startup

Company Type: Service

Business Model: B2B

Funding Stage: Pre-seed

Industry: AI

Salary Range: ₹ 1-2 Lacs PA

Job Description

This is an internship role and has a potential to convert to full-time.

🚀 READ ON IF YOU WANT TO…

Build a product users LOVE
Want to create MASSIVE impact
Want to do the BEST work of your life
Work with a PASSIONATE and KICK-ASS team, with a vision that will blow your mind

❓ About Arrowhead

What we are: Transforming sales and customer service through generative AI
What we are in more details: We’re building autonomous AI agents that sound exactly like humans

Essentially, we’re operating at the edge of innovation building cutting-edge technology that will revolutionize this space

What we’ve done: We’ve gone live with global enterprises (including InsuranceDekho, upGrad, myUpchar) and we’re beginning POCs with 5+ additional enterprises (including Aditya Birla, Mobikwik, Simpl, IQI Global, Physics Wallah to name a few) within the next 2 months, with plans to raise our next funding round this year in 2025
Our funds: We’ve closed our pre-seed round!

⭐️ OUR CLIENTS

Physics Wallah, InsuranceDekho, Aditya Birla, upGrad, Loop Health, Even health, Myupchar, IQI Global … just to name a few

🙌 What Our Existing Team Says About Our Culture

Arrowhead’s culture is nothing like i’ve seen in any organization I’ve worked at. I actually feel like I can express my ideas and that they will be heard and implemented here. I’ve never felt this empowered before.

❤️ BUILD PRODUCTS USER LOVE

At Arrowhead, we have a deep focus on the user and creating joy for them.

Our culture is user-obsessed, so everything we do should come from the mind of the user, leveraging user feedback to every extent possible.

A key differentiator for Arrowhead is its UI/UX. When we look at typical SaaS products, they can be clunky, busy and boring to use. That is not Arrowhead.

Hence your work will be VITAL to Arrowhead’s success.

🧑‍💻 YOUR ROLE

Responsible for designing, developing, and optimizing prompts for AI models to ensure accurate, contextually relevant, and high-quality outputs.
Test prompts against our QC output to consistently refine for higher accuracy
Collaborate with cross-functional teams, including AI researchers, and product managers, to create and refine prompts that enhance the performance of our AI solutions
Conduct experiments and A/B testing to evaluate and improve prompt performance.
Analyze user feedback and data to refine and enhance prompt effectiveness.
Stay up-to-date with the latest advancements in AI and natural language processing (NLP) technologies.
Document prompt engineering best practices and contribute to knowledge sharing within the team.

✅ Qualifications

Pursuing bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, English, Journalism, or a related field.
Strong proficiency in English
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration skills.
Ability to work in a fast-paced, dynamic environment.

🙋 SOUNDS LIKE YOU?

User-obsessed: Users come first, above all else.
Communication: You over-communicate. You communicate clearly and precisely, both verbally and in writing, including explaining technical concepts.
Timeliness: You respect timelines and communicate beforehand if there is a blocker
Ownership: You proactively take initiative to find solutions and focus on what must be done to create success.
Grit: You pursue challenging goals with passion and courage.
Intellectual curiosity: You want to constantly push yourself out of your comfort zone to try and learn new things
Entrepreneurial: You are empowered to take decisions and act on them, treating this startup as your own


Desired Skills and Experience
Prompt Engineering, Artificial Intelligence, Natural Language Processing (NLP), Copy Writing, Critical Thinking, LLM, OpenAI, ChatGPT, LangChain, Vector RAG",Prompt Engineer (Full-time Intern),SourcingXPress,11-50 employees,"Technology, Information and Internet",India
"About the job
We are a fast-growing technology company leveraging large language models and AI to power next-generation applications. Our teams deliver high-impact solutions across diverse domains while maintaining a culture of curiosity, collaboration, and continuous learning.

We’re seeking a skilled Prompt / AI Engineer to design, implement, and optimize natural-language prompts, chains, and retrieval-augmented workflows. You’ll partner with engineering, product, and data science teams to ensure seamless integration of LLM capabilities into our services.

What You'll Do At CYBLE

 Prompt Design & Optimization
Craft and iterate prompt templates for a variety of use cases (summarization, classification, Q&A)
Implement few-shot examples, chain-of-thought techniques, and dynamic parameterization
Benchmark, profile, and refine prompts to balance accuracy, latency, and cost
 Workflow & Chain Development
Build multi-step LLM pipelines using frameworks like LangChain, LlamaIndex, or equivalent
Integrate retrieval-augmented generation (RAG) with vector stores and document loaders
Develop agentic workflows that orchestrate API calls, data enrichment, and user interactions
 Model Integration & Testing
Integrate with public and private LLM services (e.g., OpenAI, Anthropic, self-hosted models)
Automate performance tests, error-handling routines, and hallucination checks
Monitor usage metrics, implement rate-limits, and optimize token budgets
 Collaboration & Documentation
Work closely with backend/frontend engineers to expose LLM endpoints
Create and maintain a prompt library, testing suite, and best-practice guidelines
Conduct reviews, knowledge transfers, and training sessions on prompt engineering

What You’ll Need

 3+ years of experience in AI/ML, NLP, or software engineering with a focus on prompt or LLM integration
 Strong proficiency in Python and familiarity with LLM client libraries
 Hands-on with at least one orchestration framework (LangChain, LlamaIndex, Dify, etc.)
 Experience working with vector databases (Pinecone, Weaviate, Qdrant) or embedding services
 Solid understanding of prompt-engineering techniques, chain-of-thought, and RAG concepts
 Ability to benchmark, profile, and optimize model calls for performance and cost
 Excellent written communication for clear documentation and prompt examples

Preferred (Nice-to-Have)

 Experience fine-tuning or prompt-tuning domain-specific models
 Familiarity with self-hosted LLM deployments (Hugging Face, OpenAI local runtimes)
 Background in automated evaluation metrics (ROUGE, BLEU, custom tests)
 Contributions to open-source prompt libraries or agent frameworks
 Exposure to CI/CD for AI services and observability tools

What We Offer

 Impactful Projects: Shape core LLM-driven capabilities across diverse applications
 Innovative Environment: Work with cutting-edge models, RAG pipelines, and agent frameworks
 Growth & Learning: Access to mentorship, training budgets, and conference support

Apply now to help us define the future of AI-driven applications through expert prompt engineering!

If you like working in an inclusive environment, you want to advance your career quickly, and your opinion is valued, look no further than Cyble, Inc. We are young, hungry, and ready to impact the cyber security landscape!

Cyble, Inc. takes into consideration an individual’s skillset, experience and location in making final salary determination.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected Veteran status age, or genetics, or any other characteristic protected by law.",Prompt / AI Engineer,Cyble,201-500,Computer and Network Security,India
"About the job
About Accrete

Accrete AI is a dynamic and innovative company focused on transforming the future of artificial intelligence. We specialize in creating advanced AI solutions that turn complex data into actionable insights, driving real-world impact for businesses and government organizations. Our team thrives on creativity and collaboration, working together to push the boundaries of AI technology. At the core of our offerings are our AI agents, designed to autonomously analyze data, generate insights, and make intelligent recommendations. These agents help businesses streamline operations, improve decision-making, and also empower government entities to enhance security, intelligence, and operational efficiency.

We are seeking a highly skilled Prompt Engineer with a PhD in a relevant field to optimize and refine AI model interactions, ensuring high-quality, contextually accurate responses.

Responsibilities

Develop, test, and optimize prompts to enhance the performance and reliability of AI models.
Conduct research on prompt engineering techniques, model interpretability, and fine-tuning methodologies.
Collaborate with data scientists, NLP engineers, and product teams to refine AI-generated outputs.
Design and implement prompt evaluation frameworks and metrics to measure effectiveness.
Stay up to date with advancements in large language models (LLMs) and natural language processing (NLP).
Analyze AI model behavior and provide insights to improve performance and mitigate biases.
Contribute to the development of tools for automated prompt generation and refinement.

Requirements

PhD in Computer Science, Artificial Intelligence, Machine Learning, NLP, or a related field.
Strong understanding of large language models, prompt engineering, and model fine-tuning techniques.
Experience working with LLM APIs such as OpenAI, Anthropic, or similar.
Proficiency in Python and familiarity with NLP libraries (e.g., Hugging Face, spaCy, NLTK).
Expertise in prompt crafting, contextual learning, and instruction tuning.
Strong analytical skills with experience in designing experiments for AI evaluation.
Ability to work in a fast-paced environment and contribute to cross-functional teams.

Cultural Fit & Values

At Accrete, success goes beyond technical expertise—we value innovation, collaboration, and accountability. Our team members embody:

Ownership & Accountability – Drive projects to completion with high standards and proactive problem-solving.
Transparency & Communication – Share information openly, give and receive constructive feedback.
Strategic Thinking & Problem-Solving – Analyze challenges critically and implement effective solutions.
Collaboration & Professionalism – Work as a team, contribute meaningfully, and uphold mutual respect.
Passion for AI & Innovation – Stay curious, continuously learn, and push AI’s potential.
Going Beyond the Job Description – Seek opportunities to contribute beyond core responsibilities.

Why Join Us

Innovative Environment: Be part of a team that's at the forefront of technological innovation, utilizing GenAI and ML to create groundbreaking solutions. Collaborative Culture: Work in a collaborative environment where your ideas are valued, and you have the opportunity to make a real impact. We provide a flexible work environment. Professional Growth: We're committed to your professional growth and development, offering opportunities for learning and advancement. Competitive Compensation: Enjoy a competitive compensation and benefits package, including medical insurance.

We offer a competitive salary, benefits package, and opportunities for growth and advancement within the company. If you are an innovative and results-driven leader, we encourage you to apply for this exciting opportunity.

Accrete is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.

",Prompt Engineer, Accrete,51–200,Software Development,India
"About the job
This job is sourced from a job board. Learn More
Responsibilities

 Prompt Engineering Techniques (Zero-shot, few-shot, and chain-of-thought prompting).
 Multi-modal prompt engineering (for models like Gemini and GPT-4 Turbo that handle text, images, etc. )
 LangChain & vector databases (Qdrant, ChromaDB for RAG applications).
 A/B testing & iterative prompt refinement.
 Performance evaluation of LLM outputs (BLEU, ROUGE, perplexity, human evaluation).
 Building complex RAG pipelines from scratch.
 Performing experiments and deployment of agentic workflows.
 Building backend systems and services for AI use cases.
 Work in managing products as part of the SciSpace product suite.
 Partner with product owners in designing software that becomes part of researchers' lives.

Requirements

 Minimum of 4+ years of working on engineering projects.
 Minimum of 2 years of working on Gen AI-related projects.
 Proven experience with LLM research and Deep Learning systems.
 Hands-on experience with the latest state-of-the-art models.
 Strong programming skills; versatility is a plus.
 Passion for tackling challenging problems.

Bonus

 Experience with agentic frameworks like Langgraph, crewai, autogen ag2 etc.
 Knowledge of various LLM context protocols (e. g. MCP, A2A).
 Prior experience working with high-volume, always-available web applications.
 Knowledge of cloud platforms such as AWS, GCP, or Azure.
 Experience working with a Start-up is a plus point.

(ref:hirist.tech)",Senior LLM Engineer - Prompt Engineering,SciSpace,11–50,11–50,India
